# blastn
# Iteration: 0
# Query: 
# RID: A9PV9WYB016
# Database: nt
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 54 hits found
Query_8479	XM_027601666.2	97.778	270	6	0	1	270	195	464	1.18e-129	466
Query_8479	XM_027601665.2	97.778	270	6	0	1	270	195	464	1.18e-129	466
Query_8479	AF503406.1	97.778	270	6	0	1	270	98	367	1.18e-129	466
Query_8479	AF503402.1	97.778	270	6	0	1	270	98	367	1.18e-129	466
Query_8479	AF503401.1	97.778	270	6	0	1	270	98	367	1.18e-129	466
Query_8479	AF503400.1	97.778	270	6	0	1	270	98	367	1.18e-129	466
Query_8479	AF503398.1	97.778	270	6	0	1	270	98	367	1.18e-129	466
Query_8479	AF503397.1	97.778	270	6	0	1	270	98	367	1.18e-129	466
Query_8479	AF503407.1	97.407	270	7	0	1	270	98	367	5.48e-128	460
Query_8479	XM_028120590.1	97.037	270	8	0	1	270	197	466	2.55e-126	455
Query_8479	XM_028120589.1	97.037	270	8	0	1	270	197	466	2.55e-126	455
Query_8479	AF503399.1	96.296	270	10	0	1	270	98	367	5.52e-123	444
Query_8479	XM_032410076.1	95.185	270	13	0	1	270	117	386	5.56e-118	427
Query_8479	XM_032410075.1	95.185	270	13	0	1	270	311	580	5.56e-118	427
Query_8479	XM_032410074.1	95.185	270	13	0	1	270	192	461	5.56e-118	427
Query_8479	XM_036118533.1	95.185	270	13	0	1	270	205	474	5.56e-118	427
Query_8479	XM_036118532.1	95.185	270	13	0	1	270	204	473	5.56e-118	427
Query_8479	XM_021684532.1	94.444	270	15	0	1	270	192	461	1.20e-114	416
Query_8479	XM_034991166.1	94.074	270	16	0	1	270	192	461	5.60e-113	411
Query_8479	XM_006738044.2	92.963	270	19	0	1	270	310	579	5.64e-108	394
Query_8479	XM_006738043.1	92.963	270	19	0	1	270	310	579	5.64e-108	394
Query_8479	XM_025862387.1	91.852	270	22	0	1	270	200	469	5.68e-103	377
Query_8479	XM_025862386.1	91.852	270	22	0	1	270	200	469	5.68e-103	377
Query_8479	HQ456124.1	95.299	234	11	0	27	260	1	234	2.64e-101	372
Query_8479	HQ456122.1	94.872	234	12	0	27	260	1	234	1.23e-99	366
Query_8479	HQ456125.1	94.017	234	14	0	27	260	1	234	2.66e-96	355
Query_8479	HQ456123.1	93.617	235	13	2	27	260	1	234	1.24e-94	350
Query_8479	AY204353.1	97.661	171	4	0	48	218	1	171	5.88e-78	294
Query_8479	AY204352.1	96.491	171	6	0	48	218	1	171	1.27e-74	283
Query_8479	KP127613.1	95.930	172	7	0	47	218	1	172	1.65e-73	279
Query_8479	HE663126.1	98.113	159	3	0	63	221	1	159	5.92e-73	278
Query_8479	HQ456126.1	91.000	200	18	0	40	239	14	213	9.91e-71	270
Query_8479	HE663127.1	97.452	157	4	0	65	221	3	159	3.57e-70	268
Query_8479	HE663128.1	96.855	159	5	0	63	221	1	159	1.28e-69	267
Query_8479	KP127614.1	93.605	172	11	0	47	218	1	172	7.72e-67	257
Query_8479	AF111040.1	98.582	141	2	0	27	167	1	141	1.29e-64	250
Query_8479	AF503403.1	98.551	138	2	0	133	270	141	278	6.01e-63	244
Query_8479	AF503403.1	94.915	59	1	2	1	57	98	156	8.28e-17	91.6
Query_8479	AF111044.1	97.872	141	3	0	27	167	1	141	6.01e-63	244
Query_8479	AF111038.1	95.714	140	6	0	28	167	2	141	2.18e-57	226
Query_8479	AF111036.1	95.714	140	6	0	28	167	2	141	2.18e-57	226
Query_8479	AF111043.1	95.035	141	7	0	27	167	1	141	2.82e-56	222
Query_8479	AF111037.1	95.000	140	7	0	28	167	2	141	1.01e-55	220
Query_8479	AF111035.1	95.000	140	7	0	28	167	2	141	1.01e-55	220
Query_8479	AF111032.1	95.000	140	7	0	28	167	2	141	1.01e-55	220
Query_8479	AF111034.1	94.286	140	8	0	28	167	2	141	4.71e-54	215
Query_8479	AY007203.1	93.617	141	9	0	27	167	1	141	6.09e-53	211
Query_8479	AF111045.1	93.617	141	9	0	27	167	1	141	6.09e-53	211
Query_8479	AF111033.1	93.571	140	9	0	28	167	2	141	2.19e-52	209
Query_8479	AF111039.1	92.908	141	10	0	27	167	1	141	2.84e-51	206
Query_8479	AF111042.1	92.254	142	9	2	27	167	1	141	1.32e-49	200
Query_8479	AF111031.1	92.143	140	11	0	28	167	2	141	4.74e-49	198
Query_8479	AF111030.1	92.143	140	11	0	28	167	2	141	4.74e-49	198
Query_8479	AF111041.1	91.549	142	10	2	27	167	1	141	6.14e-48	195


